"","id","name","attcoef","defcoef"
"1",1,"Arsenal",0.161870283815424,-0.0602395888715645
"2",2,"Aston Villa",0.0166484532142902,0.0344993157470716
"3",3,"Brentford",-0.0576468025323694,0.0681144051756256
"4",4,"Brighton",-0.183540846982988,-0.148536669105826
"5",5,"Burnley",-0.356994211196074,0.00636579519454009
"6",6,"Chelsea",0.363408411404058,-0.35290802122747
"7",7,"Crystal Palace",-0.0244708339577465,-0.104551393136886
"8",8,"Everton",-0.147699939283172,0.209112197734788
"9",9,"Leeds",-0.158784690583502,0.381787493121707
"10",10,"Leicester",0.186255356094498,0.122614992025151
"11",11,"Liverpool",0.570613131806908,-0.507226325151814
"12",12,"Man City",0.624569927020031,-0.502020669949938
"13",13,"Man Utd",0.105716338493985,0.0878656026393082
"14",14,"Newcastle",-0.131580014207782,0.151967301563919
"15",15,"Norwich",-0.636151267587027,0.427291758325966
"16",16,"Southampton",-0.146773657922223,0.223376800412066
"17",17,"Spurs",0.274815476699961,-0.209156223760939
"18",18,"Watford",-0.339863625623642,0.350061954639381
"19",19,"West Ham",0.148254630641577,-0.00863329013560257
"20",20,"Wolves",-0.268646119314207,-0.169785435239482
